,Biomodel name,coverage,automatic annotation,ontology for automatic annotation,manual annotation,ontology for manual annotation
786,BIOMD0000000852,1.0,"['Inflammation', 'Continuum Modeling', 'Cancer Screening', 'Progression in GvHD', 'Findings-Based Question', 'Malignant', 'Mutations per Megabase', 'Clone', 'Proliferation', 'Disease Progression', 'Concomitant', 'Immunological Diagnostic Method', 'Chronic', 'Computer Modeling', 'Computer Modeling', 'Stem Cell', 'Clonal Evolution', 'Chronic Inflammation']","['http://purl.obolibrary.org/obo/NCIT_C3137', 'http://purl.obolibrary.org/obo/NCIT_C75361', 'http://purl.obolibrary.org/obo/NCIT_C15406', 'http://purl.obolibrary.org/obo/NCIT_C126724', 'http://purl.obolibrary.org/obo/NCIT_C91103', 'http://purl.obolibrary.org/obo/NCIT_C14143', 'http://purl.obolibrary.org/obo/NCIT_C188348', 'http://purl.obolibrary.org/obo/NCIT_C37925', 'http://purl.obolibrary.org/obo/NCIT_C28378', 'http://purl.obolibrary.org/obo/NCIT_C17747', 'http://purl.obolibrary.org/obo/NCIT_C25730', 'http://purl.obolibrary.org/obo/NCIT_C18193', 'http://purl.obolibrary.org/obo/NCIT_C14141', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C12662', 'http://purl.obolibrary.org/obo/NCIT_C19686', 'http://purl.obolibrary.org/obo/NCIT_C174450']",[' Ordinary differential equation model'],[' MAMO_0000046']
787,BIOMD0000000853,1.0,"['Stimulus', 'EP2/EP4 Antagonist TPST-1495', 'Counter Device', 'Collateral', 'Oocyte Maturation Pathway', 'Degradation', 'inhibited', 'Discrete', 'Abstract', 'Synthesis', 'Preservation', 'Interactive Kiosk', 'Conversion', 'Schaffer axon collateral', 'Proteasome Inhibitor', 'PPY wt Allele', 'Protein Synthesis', 'Synapse', 'Inclusion Body', 'Reversal', 'Protein Synthesis Inhibitor']","['http://purl.obolibrary.org/obo/NCIT_C41210', 'http://purl.obolibrary.org/obo/NCIT_C174460', 'http://purl.obolibrary.org/obo/NCIT_C49894', 'http://purl.obolibrary.org/obo/NCIT_C61513', 'http://purl.obolibrary.org/obo/NCIT_C39156', 'http://purl.obolibrary.org/obo/NCIT_C61559', 'http://biomodels.net/SBO/SBO_0000642', 'http://purl.obolibrary.org/obo/NCIT_C75300', 'http://purl.obolibrary.org/obo/NCIT_C42874', 'http://purl.obolibrary.org/obo/NCIT_C61408', 'http://purl.obolibrary.org/obo/NCIT_C52243', 'http://purl.obolibrary.org/obo/NCIT_C19749', 'http://purl.obolibrary.org/obo/NCIT_C52566', 'http://purl.obolibrary.org/obo/GO_1990021', 'http://purl.obolibrary.org/obo/NCIT_C2160', 'http://purl.obolibrary.org/obo/NCIT_C129910', 'http://purl.obolibrary.org/obo/NCIT_C18103', 'http://purl.obolibrary.org/obo/NCIT_C13281', 'http://purl.obolibrary.org/obo/NCIT_C120945', 'http://purl.obolibrary.org/obo/NCIT_C125005', 'http://purl.obolibrary.org/obo/NCIT_C784']",[' Ordinary differential equation model'],[' MAMO_0000046']
822,BIOMD0000000888,0.8333333333333334,"['Pharmacokinetic Parameters Domain', 'Theoretical Biology', 'Immune System', 'Immunotherapy', 'Tumor Cell Seeding', 'Optimal Debulking', 'Analytical Grid Service', 'DNA Stability Analysis', 'Oncolytic Virus Therapy', 'Employed', 'Mathematical Model', 'Cytotoxic', 'Drug Delivery System', 'Parameter', 'Chemotherapy']","['http://purl.obolibrary.org/obo/NCIT_C49607', 'http://purl.obolibrary.org/obo/NCIT_C19061', 'http://purl.obolibrary.org/obo/NCIT_C12735', 'http://purl.obolibrary.org/obo/NCIT_C15262', 'http://purl.obolibrary.org/obo/NCIT_C172041', 'http://purl.obolibrary.org/obo/NCIT_C128096', 'http://purl.obolibrary.org/obo/NCIT_C63543', 'http://purl.obolibrary.org/obo/NCIT_C63329', 'http://purl.obolibrary.org/obo/NCIT_C62713', 'http://purl.obolibrary.org/obo/NCIT_C25172', 'http://purl.obolibrary.org/obo/NCIT_C16870', 'http://purl.obolibrary.org/obo/NCIT_C37893', 'http://purl.obolibrary.org/obo/NCIT_C17423', 'http://purl.obolibrary.org/obo/NCIT_C44175', 'http://purl.obolibrary.org/obo/NCIT_C15632']","[' Homo sapiens,  Ordinary differential equation model']","[' 9606,  MAMO_0000046']"
846,BIOMD0000000921,0.8333333333333334,"['Pharmacokinetic Parameters Domain', 'Tabelecleucel', 'Odesivimab', 'mixed glioma', 'Mathematical Model', 'Analysis']","['http://purl.obolibrary.org/obo/NCIT_C49607', 'http://purl.obolibrary.org/obo/NCIT_C143140', 'http://purl.obolibrary.org/obo/NCIT_C170242', 'http://purl.obolibrary.org/obo/MONDO_0003268', 'http://purl.obolibrary.org/obo/NCIT_C16870', 'http://purl.obolibrary.org/obo/NCIT_C25391']","[' Ordinary differential equation model,  Homo sapiens']","[' MAMO_0000046,  9606']"
864,BIOMD0000000939,0.8333333333333334,"['Pharmacokinetic Parameters Domain', 'Dose', 'Apoptosis', 'DNA Damage', 'DNA Repair', 'oscillation', 'Computer Modeling', 'Cell Fate Control', 'Tumor Suppressor Gene', 'p21 RAS Protein', 'Sensitivity', 'Computer Modeling', 'Ultraviolet Irradiation Attenuation']","['http://purl.obolibrary.org/obo/NCIT_C49607', 'http://purl.obolibrary.org/obo/NCIT_C25488', 'http://purl.obolibrary.org/obo/NCIT_C17557', 'http://purl.obolibrary.org/obo/NCIT_C16507', 'http://purl.obolibrary.org/obo/NCIT_C16513', 'http://identifiers.org/teddy/TEDDY_0000006', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C26142', 'http://purl.obolibrary.org/obo/NCIT_C17362', 'http://purl.obolibrary.org/obo/NCIT_C17388', 'http://purl.obolibrary.org/obo/NCIT_C25201', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C164239']","[' Homo sapiens,  Ordinary differential equation model']","[' 9606,  MAMO_0000046']"
745,BIOMD0000000808,0.8333333333333334,"['Adoptive Immunotherapy', 'Immune System', 'Individualized', 'ex vivo', 'Mathematical Model', 'anaplastic astrocytoma', 'Recurrent', 'Chemotherapy', 'Pharmacotherapy Regimens', 'Interactive Kiosk', 'Tumor Burden', 'ACTL6B Gene', 'Administered', 'Anaplastic Oligodendroglioma', 'Tumor Size', 'Glioma', 'Malignant Glioma', 'glioblastoma multiforme', 'Therapeutic Efficacy', 'Computer Modeling', 'Dose', 'Clinical Trial', 'Augmented Reality Intervention', 'Brain Tumor Surgery', 'Immunotherapy', 'Refractory', 'Glioblastoma', 'Re-randomized']","['http://purl.obolibrary.org/obo/NCIT_C15351', 'http://purl.obolibrary.org/obo/NCIT_C12735', 'http://purl.obolibrary.org/obo/NCIT_C60729', 'http://purl.obolibrary.org/obo/NCIT_C70676', 'http://purl.obolibrary.org/obo/NCIT_C16870', 'http://www.ebi.ac.uk/efo/EFO_0002499', 'http://purl.obolibrary.org/obo/NCIT_C14173', 'http://purl.obolibrary.org/obo/NCIT_C15632', 'http://purl.obolibrary.org/obo/NCIT_C160950', 'http://purl.obolibrary.org/obo/NCIT_C19749', 'http://purl.obolibrary.org/obo/NCIT_C28384', 'http://purl.obolibrary.org/obo/NCIT_C157276', 'http://purl.obolibrary.org/obo/NCIT_C25382', 'http://purl.obolibrary.org/obo/NCIT_C4326', 'http://purl.obolibrary.org/obo/NCIT_C120284', 'http://purl.obolibrary.org/obo/NCIT_C3059', 'http://purl.obolibrary.org/obo/NCIT_C4822', 'http://www.ebi.ac.uk/efo/EFO_0000519', 'http://purl.obolibrary.org/obo/NCIT_C70924', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C25488', 'http://purl.obolibrary.org/obo/NCIT_C71104', 'http://purl.obolibrary.org/obo/NCIT_C185887', 'http://purl.obolibrary.org/obo/NCIT_C157801', 'http://purl.obolibrary.org/obo/NCIT_C15262', 'http://purl.obolibrary.org/obo/NCIT_C38014', 'http://purl.obolibrary.org/obo/NCIT_C3058', 'http://purl.obolibrary.org/obo/NCIT_C186212']","[' Ordinary differential equation model,  Adoptive Immunotherapy']","[' MAMO_0000046,  C15351']"
794,BIOMD0000000860,0.8333333333333334,"['Stimulus', 'Isolation', 'Cartilage', 'Matrix', 'CDISC Interventions Class', 'modelling framework', 'Bioinformatics', 'Oat Cell', 'BRIDG Terminology', 'cartilage homeostasis', 'Osteoarthritis', 'modified', 'Statistical Markup Language', 'IL-12-expressing Exosome CDK-003']","['http://purl.obolibrary.org/obo/NCIT_C41210', 'http://purl.obolibrary.org/obo/NCIT_C25549', 'http://purl.obolibrary.org/obo/NCIT_C12373', 'http://purl.obolibrary.org/obo/NCIT_C45805', 'http://purl.obolibrary.org/obo/NCIT_C103374', 'http://biomodels.net/SBO/SBO_0000004', 'http://purl.obolibrary.org/obo/NCIT_C17964', 'http://purl.obolibrary.org/obo/NCIT_C36762', 'http://purl.obolibrary.org/obo/NCIT_C159501', 'http://purl.obolibrary.org/obo/GO_1990079', 'http://purl.obolibrary.org/obo/NCIT_C3293', 'http://biomodels.net/SBO/SBO_0000644', 'http://purl.obolibrary.org/obo/NCIT_C47842', 'http://purl.obolibrary.org/obo/NCIT_C185871']","[' Homo sapiens,  Ordinary differential equation model']","[' 9606,  MAMO_0000046']"
844,BIOMD0000000919,0.8333333333333334,[],[],"[' Ordinary differential equation model,  Homo sapiens']","[' MAMO_0000046,  9606']"
742,BIOMD0000000805,0.8333333333333334,"['Golgi Apparatus', 'pH', 'Analytical Procedure Robustness', 'Tissue', 'lactate', 'Pharmacologic Substance', 'Mathematical Model', 'Intracellular', 'Reversal', 'Gradient', 'Cellularity Measurement']","['http://purl.obolibrary.org/obo/NCIT_C13238', 'http://purl.obolibrary.org/obo/NCIT_C45997', 'http://purl.obolibrary.org/obo/NCIT_C134245', 'http://purl.obolibrary.org/obo/NCIT_C12801', 'http://purl.obolibrary.org/obo/CHEBI_24996', 'http://purl.obolibrary.org/obo/NCIT_C1909', 'http://purl.obolibrary.org/obo/NCIT_C16870', 'http://purl.obolibrary.org/obo/NCIT_C28217', 'http://purl.obolibrary.org/obo/NCIT_C125005', 'http://purl.obolibrary.org/obo/NCIT_C70693', 'http://purl.obolibrary.org/obo/NCIT_C111153']","[' Ordinary differential equation model,  Homo sapiens']","[' MAMO_0000046,  9606']"
838,BIOMD0000000913,0.8333333333333334,"['Non-Specific Granulomatous Orchitis', 'Tumor-Infiltrating Immune Cell', 'Optimal Debulking', 'Interleukin-2', 'Tumor Infiltrating Lymphocyte', 'Chemotherapy']","['http://purl.obolibrary.org/obo/NCIT_C27162', 'http://purl.obolibrary.org/obo/NCIT_C153548', 'http://purl.obolibrary.org/obo/NCIT_C128096', 'http://purl.obolibrary.org/obo/NCIT_C20507', 'http://purl.obolibrary.org/obo/NCIT_C12546', 'http://purl.obolibrary.org/obo/NCIT_C15632']","[' Ordinary differential equation model,  Homo sapiens']","[' MAMO_0000046,  9606']"
837,BIOMD0000000912,0.8333333333333334,"['Immune System', 'Immunotherapy', 'oscillation']","['http://purl.obolibrary.org/obo/NCIT_C12735', 'http://purl.obolibrary.org/obo/NCIT_C15262', 'http://identifiers.org/teddy/TEDDY_0000006']","[' Ordinary differential equation model,  Homo sapiens']","[' MAMO_0000046,  9606']"
830,BIOMD0000000899,0.8333333333333334,"['tetrahydrofolate interconversion', 'Activation', 'Findings-Based Question', 'Inhibit Scale', 'Sustained Engraftment', 'MedDRA']","['http://purl.obolibrary.org/obo/GO_0035999', 'http://purl.obolibrary.org/obo/NCIT_C64382', 'http://purl.obolibrary.org/obo/NCIT_C91103', 'http://purl.obolibrary.org/obo/NCIT_C121463', 'http://purl.obolibrary.org/obo/NCIT_C111964', 'http://purl.obolibrary.org/obo/NCIT_C43820']","[' Ordinary differential equation model,  Homo sapiens']","[' MAMO_0000046,  9606']"
817,BIOMD0000000883,0.8333333333333334,"['Poorly Marginated Nodule', 'BRAF Inhibitor', 'Clinical Practice Guidelines', 'CDISC Interventions Class', 'Multidrug Resistance Modulator', 'BRAF V600E Negative', 'Refractory', 'Vemurafenib', 'Property of Relationship', 'Intrinsic', 'BRAF NP_004324.2:p.V600E', 'DNA Fragmentation', 'Apoptosis', 'CASP3 wt Allele', 'In Vitro Model', 'Inhibit Scale', 'Prediction', 'Vemurafenib', 'Serine/Threonine Kinase Inhibitor', 'Marker', 'Cell Proliferation', 'Isolate', 'ERK Inhibitor', 'In Vitro']","['http://purl.obolibrary.org/obo/NCIT_C157664', 'http://purl.obolibrary.org/obo/NCIT_C155322', 'http://purl.obolibrary.org/obo/NCIT_C28237', 'http://purl.obolibrary.org/obo/NCIT_C103374', 'http://purl.obolibrary.org/obo/NCIT_C1744', 'http://purl.obolibrary.org/obo/NCIT_C153163', 'http://purl.obolibrary.org/obo/NCIT_C38014', 'http://purl.obolibrary.org/obo/NCIT_C64768', 'http://purl.obolibrary.org/obo/NCIT_C75915', 'http://purl.obolibrary.org/obo/NCIT_C129970', 'http://purl.obolibrary.org/obo/NCIT_C98342', 'http://purl.obolibrary.org/obo/NCIT_C107432', 'http://purl.obolibrary.org/obo/NCIT_C17557', 'http://purl.obolibrary.org/obo/NCIT_C49553', 'http://purl.obolibrary.org/obo/NCIT_C19146', 'http://purl.obolibrary.org/obo/NCIT_C121463', 'http://purl.obolibrary.org/obo/NCIT_C54156', 'http://purl.obolibrary.org/obo/NCIT_C64768', 'http://purl.obolibrary.org/obo/NCIT_C61074', 'http://purl.obolibrary.org/obo/NCIT_C177671', 'http://purl.obolibrary.org/obo/NCIT_C18081', 'http://purl.obolibrary.org/obo/NCIT_C53471', 'http://purl.obolibrary.org/obo/NCIT_C174048', 'http://purl.obolibrary.org/obo/NCIT_C15263']","[' Homo sapiens,  Ordinary differential equation model']","[' 9606,  MAMO:0000046']"
825,BIOMD0000000892,0.8333333333333334,"['Ribavirin', 'Viral Load', 'Hepatitis C Virus', 'Computer Modeling', 'Interferon Therapy', 'HCV Genotype Finding', 'Biphasic', 'Antiviral Therapy', 'Parameter']","['http://purl.obolibrary.org/obo/NCIT_C807', 'http://purl.obolibrary.org/obo/NCIT_C51952', 'http://purl.obolibrary.org/obo/NCIT_C14312', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C15469', 'http://purl.obolibrary.org/obo/NCIT_C157506', 'http://purl.obolibrary.org/obo/NCIT_C25435', 'http://purl.obolibrary.org/obo/NCIT_C16119', 'http://purl.obolibrary.org/obo/NCIT_C44175']","[' Ordinary differential equation model,  Homo sapiens']","[' MAMO_0000046,  9606']"
720,BIOMD0000000783,0.8333333333333334,"['Long Term Survivorship', 'Pharmacokinetic Parameters Domain', 'Memory T-Lymphocyte', 'Tabelecleucel', 'Immune System', 'Stimulation', 'Effector T-Lymphocyte', 'Helper T-Lymphocytes Count', 'Boost', 'Recruitment', 'Comparison', 'Odesivimab', 'Adoptive Immunotherapy', 'Antitumor', 'Cytotoxic', 'Scaled Score', 'Activation']","['http://purl.obolibrary.org/obo/NCIT_C19312', 'http://purl.obolibrary.org/obo/NCIT_C49607', 'http://purl.obolibrary.org/obo/NCIT_C104082', 'http://purl.obolibrary.org/obo/NCIT_C143140', 'http://purl.obolibrary.org/obo/NCIT_C12735', 'http://purl.obolibrary.org/obo/NCIT_C61406', 'http://purl.obolibrary.org/obo/NCIT_C104083', 'http://purl.obolibrary.org/obo/NCIT_C181302', 'http://purl.obolibrary.org/obo/NCIT_C25438', 'http://purl.obolibrary.org/obo/NCIT_C78343', 'http://purl.obolibrary.org/obo/NCIT_C49156', 'http://purl.obolibrary.org/obo/NCIT_C170242', 'http://purl.obolibrary.org/obo/NCIT_C15351', 'http://purl.obolibrary.org/obo/NCIT_C94320', 'http://purl.obolibrary.org/obo/NCIT_C37893', 'http://purl.obolibrary.org/obo/NCIT_C120341', 'http://purl.obolibrary.org/obo/NCIT_C64382']","[' Ordinary differential equation model,  Adoptive Immunotherapy']","[' MAMO_0000046,  C15351']"
702,BIOMD0000000765,0.8,"['Plasma', 'In Vivo', 'Pharmacokinetic Parameters Domain', 'Cytokine', 'fixed point', 'Precision', 'Pharmacokinetic Study', 'Sheep', 'Intravenous Administration Set', 'Computer Modeling', 'Kinetics', 'Computer Modeling', 'Pharmacokinetics']","['http://purl.obolibrary.org/obo/NCIT_C13356', 'http://purl.obolibrary.org/obo/NCIT_C15744', 'http://purl.obolibrary.org/obo/NCIT_C49607', 'http://purl.obolibrary.org/obo/NCIT_C20464', 'http://identifiers.org/teddy/TEDDY_0000086', 'http://purl.obolibrary.org/obo/NCIT_C48045', 'http://purl.obolibrary.org/obo/NCIT_C49663', 'http://purl.obolibrary.org/obo/NCIT_C14273', 'http://purl.obolibrary.org/obo/NCIT_C69022', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C16770', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C15299']","[' Ordinary differential equation model,  Pharmacokinetics']","[' MAMO_0000046,  C15299']"
806,BIOMD0000000872,0.8,"['Antiretroviral Therapy', 'Co-infection', 'Immunological Diagnostic Method', 'Human Papillomavirus Infection', 'HIV Infection', 'Modulation', 'HIV-associated cancer', 'Mathematical Model', 'Pathogenesis', 'HIV Infection', 'Human Immunodeficiency Virus', 'Permissiveness']","['http://purl.obolibrary.org/obo/NCIT_C94631', 'http://purl.obolibrary.org/obo/NCIT_C173511', 'http://purl.obolibrary.org/obo/NCIT_C18193', 'http://purl.obolibrary.org/obo/NCIT_C27851', 'http://purl.obolibrary.org/obo/NCIT_C3108', 'http://purl.obolibrary.org/obo/NCIT_C90063', 'http://www.ebi.ac.uk/efo/EFO_0009553', 'http://purl.obolibrary.org/obo/NCIT_C16870', 'http://purl.obolibrary.org/obo/NCIT_C18264', 'http://purl.obolibrary.org/obo/NCIT_C3108', 'http://purl.obolibrary.org/obo/NCIT_C14219', 'http://purl.obolibrary.org/obo/NCIT_C16971']","[' Homo sapiens,  Human Immunodeficiency Virus']","[' 9606,  C14219']"
685,BIOMD0000000748,0.7777777777777778,"['Complicated', 'Oncolytic Virus Therapy', 'innate immune response']","['http://purl.obolibrary.org/obo/NCIT_C86059', 'http://purl.obolibrary.org/obo/NCIT_C62713', 'http://purl.obolibrary.org/obo/GO_0045087']","[' Ordinary differential equation model,  Homo sapiens,  Oncolytic Virus Therapy']","[' MAMO_0000046,  9606,  C62713']"
727,BIOMD0000000790,0.7777777777777778,"['In Vivo', 'Stochastic', 'Angiogenic Process', 'Analytical Procedure Robustness', 'immune response', 'Heterogeneity', 'Tumor Tissue', 'Mathematical Model', 'Sensitivity', 'Tumor Microenvironment', 'attractor', 'Abnormal Cells Present']","['http://purl.obolibrary.org/obo/NCIT_C15744', 'http://purl.obolibrary.org/obo/NCIT_C142697', 'http://purl.obolibrary.org/obo/NCIT_C17932', 'http://purl.obolibrary.org/obo/NCIT_C134245', 'http://purl.obolibrary.org/obo/GO_0006955', 'http://purl.obolibrary.org/obo/NCIT_C28359', 'http://purl.obolibrary.org/obo/NCIT_C18009', 'http://purl.obolibrary.org/obo/NCIT_C16870', 'http://purl.obolibrary.org/obo/NCIT_C25201', 'http://purl.obolibrary.org/obo/NCIT_C94498', 'http://identifiers.org/teddy/TEDDY_0000094', 'http://purl.obolibrary.org/obo/NCIT_C42076']","[' Ordinary differential equation model,  immune response to tumor cell']","[' MAMO_0000046,  GO:0002418']"
